ID,Opportunity Name,Organization,Amount,Deadline,Focus Area,Eligibility,Source URL,Confidence Score,Verification Status,Notes,Already In DB
1,Get Nearshored Grant,Get Nearshored,$1000,Jan 15 2026,Manufacturing/Product,Businesses under $5M revenue producing physical products,https://getnearshored.com/,75,NEEDS VERIFICATION,Three $1K grants for manufacturing samples,NO
2,Santander X Cultivate Small Business Grant,Santander,$2500-$20000,Jan 18 2026,Food Industry,Early-stage food entrepreneurs underserved founders,https://santanderx.com/,80,NEEDS VERIFICATION,12-week curriculum plus mentorship plus grants,NO
3,Funding Lab Q1 2026,Funding Lab,Advisory/Varies,Jan 18 2026,All Sectors,Early-stage startups raising seed,https://fundinglab.co/,70,NEEDS VERIFICATION,Virtual advisory program 3 months,NO
4,Skip's $10K 2026 Kickoff Grants,Skip,$10000,Jan 31 2026,All Sectors,US-based entrepreneurs and small business owners,https://skip.com/grants,85,NEEDS VERIFICATION,Two $10K grants available,NO
5,Citizens NYC Neighborhood Business Grants,Citizens Bank,Up to $5000,Feb 2 2026,Community Small Business,NYC businesses 2+ years 10 or fewer employees,https://citizensbank.com/,80,NEEDS VERIFICATION,Microgrants for community-focused initiatives,NO
6,Neurodiverse Entrepreneur Program,Various,Varies,Feb 2 2026,Accessibility/Inclusion,People with developmental/cognitive differences,https://entreprenista.com/,65,NEEDS VERIFICATION,Program for autism dyslexia ADD/ADHD founders,NO
7,Intuit QuickBooks x Mailchimp Small Business Hero,Intuit,$20000,Feb 14 2026,All Sectors,US small businesses showing courage perseverance integrity,https://quickbooks.intuit.com/small-business-hero/,90,NEEDS VERIFICATION,Three winners chosen each quarter,NO
8,Purdue Innovates Accelerator,Purdue University,Investment-based,Jan 11 2026,All Industries,High-growth startups any industry,https://purdueinnovates.org/,90,NEEDS VERIFICATION,3-month investment-based program,NO
9,BEAM Circular Accelerator,gener8tor,$100K value,Jan 11 2026,Bioeconomy/Circular,Early-stage circular bioeconomy solutions,https://www.gener8tor.com/beam,90,NEEDS VERIFICATION,12-week hybrid program starts March 5,NO
10,MassBio DRIVE Spring 2026,MassBio,Accelerator,Jan 16 2026,Biotech/Diagnostics,Scientific founders therapeutic pipelines ML diagnostics,https://www.massbio.org/drive/,90,NEEDS VERIFICATION,Focus on Biotech and Biomarkers/Diagnostics,NO
11,Startmate ANZ,Startmate,$75K for 7.5%,Jan 31 2026,EdTech FinTech HealthTech,Australia/New Zealand startups,https://www.startmate.com/,90,NEEDS VERIFICATION,12-week program funding mentorship community,NO
12,Flywheel Investment Conference,Flywheel,Investment,Jan 31 2026,All Sectors,Startups seeking investor connections,https://flywheelconference.com/,70,NEEDS VERIFICATION,Startups meet investors mentors community,NO
13,MIT Climate & Energy Prize,MIT,$100000,Jan 11 2026,Climate/Energy,Global university students climate startups,https://cep.mit.edu/,95,NEEDS VERIFICATION,15 years 260+ alumni $1.7B follow-on funding,NO
14,gener8tor Cox Cleantech Accelerator,gener8tor/Cox,$100K,Jan 11 2026,CleanTech,Cleantech startups,https://www.gener8tor.com/sustainability,90,NEEDS VERIFICATION,In-person Atlanta GA 12 weeks,NO
15,EIC Accelerator Step 2,European Innovation Council,Up to €2.5M,Jan 7 2026,Deep Tech,European deep tech startups,https://eic.ec.europa.eu/,95,NEEDS VERIFICATION,€50M allocated for climate adaptation,NO
16,Green Economy Transition Fund Malawi,GETF,$40K-$300K,Jan 10 2026,Sustainable Energy/Climate,Malawi-based enterprises,https://getf.org/,75,NEEDS VERIFICATION,Matching grants plus $35K technical assistance,NO
17,Bahari Innovation Challenge Tanzania,Various,TZS 145M pool,Jan 11 2026,Blue Economy,Tanzanian coastal blue economy startups,https://bahariinnovation.org/,70,NEEDS VERIFICATION,Equity-free grants aquaculture marine eco-tourism,NO
18,Clean Energy Agri-Tech Fund India,Various,Up to $70K,Jan 12 2026,Clean Energy/AgriTech,Indian SMEs and startups,https://cleanenergyfund.in/,70,NEEDS VERIFICATION,No-interest loan agri-energy mobility waste,NO
19,BIRE Programme Kenya,Hand in Hand,$Varies,Jan 15 2026,SME Growth,Women youth disabled-led micro/small enterprises Kenya,https://handinhandea.org/,75,NEEDS VERIFICATION,Embassy of Sweden supported,NO
20,Agriculture Industries Innovation Australia,NSW Government,Varies,Jan 23 2026,Agriculture/Export,Australian agriculture sector,https://nsw.gov.au/,80,NEEDS VERIFICATION,Technology equipment for exports supply chain,NO
21,FruitGuys Community Fund,FruitGuys,Up to $5000,Jan 30 2026,Agriculture/Sustainability,Farms under 250 acres sustainability projects,https://fruitguys.com/communityfund,85,NEEDS VERIFICATION,Beehives soil health projects,NO
22,Her Agenda Breakthrough Grant,Her Agenda,$5000,Jan 18 2026,Women Entrepreneurs,Women entrepreneurs newsletter subscribers,https://heragenda.com/,80,NEEDS VERIFICATION,Must be operating business and subscribed,NO
23,US Women in Tech Accelerator 2026,Village Capital/Standard Chartered,$25000,Jan 30 2026,Women-Led Tech,Early-stage women-led tech startups US,https://vilcap.com/,90,NEEDS VERIFICATION,Two startups receive $25K grant capital,NO
24,Women Founders Grant,Women Founders Grant,$5000,Jan 31 2026,Women-Owned,51%+ women-owned US businesses,https://womenfoundersgrant.com/,85,NEEDS VERIFICATION,Monthly grant applications,NO
25,EmpowHer Grant,Boundless Futures Foundation,Up to $25000,Jan 2026,Women Entrepreneurs,Women entrepreneurs,https://boundlessfutures.org/,85,NEEDS VERIFICATION,Applications open quarterly January April July October,NO
26,SoGal Black Founder Startup Grant,SoGal,$10000,Rolling Monthly,Black Women/Nonbinary,Black women or nonbinary entrepreneurs scalable solutions,https://www.sogal.co/,90,NEEDS VERIFICATION,Grantees chosen end of each month,NO
27,D-Prize,D-Prize,Up to $20000,Jan 4 2026,Social Impact,Entrepreneurs launching orgs in low/middle income countries,https://d-prize.org/,95,NEEDS VERIFICATION,Seed for-profit NGOs charities,NO
28,AU-EU Youth Action Lab Grant,AU-EU,Up to €30000,Jan 7 2026,Youth Social Enterprise,Youth-led mission-driven orgs in Africa,https://aueu.org/,75,NEEDS VERIFICATION,Social and economic impact sustainable enterprises,NO
29,Empower Innovation Challenge,Various,$80000,Jan 11 2026,MSME Support Central America,Organizations strengthening MSMEs Central America,https://empowerinnovation.org/,80,NEEDS VERIFICATION,15 grants of $80K each,NO
