name,deadline_type,cadence,program_frequency,source_url
Cybersecurity & Defence Accelerator,cohort-based,varies,Cohort-based programs,
STTR Phase I (All Agencies),fixed,quarterly,Quarterly solicitations with fixed deadlines,
Penn Startup Challenge,fixed,annual,Annual competition,
Breva Thrive Grant,fixed,varies,Application windows,
NIST MEP,fixed,varies,Grant with application deadline,
SBIR Phase I - USDA,fixed,quarterly,Quarterly solicitations with fixed deadlines,
Amex Shop Small Grants,fixed,varies,Application windows,https://mainstreet.org/about/partner-collaborations/amex-shop-small-grant-program
Horizon Europe AI Road Safety,fixed,annual,Annual work programs with specific deadlines,
Horizon Europe Battery Development,fixed,annual,Annual work programs with specific deadlines,
Space Symposium Innovate Pitch,fixed,annual,Annual competition,
Arch Venture Partners,rolling,rolling,Rolling applications,
NASE Growth Grants,fixed,varies,Application windows,
P33 Chicago Civic Innovation Challenge,fixed,annual,Annual competition,
SBIR Phase I - NASA,fixed,quarterly,Quarterly solicitations with fixed deadlines,
Desai Accelerator (U-M Alumni),cohort-based,varies,Cohort-based programs,
The Liveability Challenge 2026,fixed,annual,Annual competition,
QuickBooks Small Business Hero,fixed,varies,Grant with application deadline,https://quickbooks.intuit.com/offers/small-business-hero-program/
Space Symposium Innovate (Final),fixed,annual,Annual competition,
EDA Tech Hubs Phase 2,fixed,varies,Grant with application deadline,
HHS SBIR/STTR,fixed,quarterly,Quarterly solicitations with fixed deadlines,
AgeTech Open Mic Challenge,fixed,annual,Annual competition,
ViVE Health AgeTech Pitch,fixed,annual,Annual competition,
Secretsos Small Business Grant,fixed,varies,Application windows,
7wire Ventures,rolling,rolling,Rolling applications,
BVF (Blue Venture Fund),rolling,rolling,Rolling applications,
Moderne Passport Industry Immersion,cohort-based,varies,Cohort-based program,
South Summit Madrid,fixed,annual,Annual competition,
Opportunity Fund,fixed,varies,Grant with application deadline,
PitchBook University Innovation Prize,fixed,annual,Annual competition,
Rice Business Plan Competition,fixed,annual,Annual competitions,
IL Small Business Capital Grant,fixed,varies,Application windows,
Chicago SBIF Grant,fixed,varies,Application windows,
IL Federal Grant Match Program,fixed,varies,Application windows,
Chicago CDG Large Grant,fixed,varies,Application windows,
Aurora Finish Line Grant,fixed,varies,Application windows,
SoGal Black Founder Grant,fixed,varies,Application windows,https://www.sogalfoundation.org/
Google Black Founders Fund,fixed,varies,Grant with application deadline,
NAACP Powershift Grant,fixed,varies,Application windows,
Black Girl Ventures Pitch,fixed,annual,Annual competition,
Harlem Capital,rolling,rolling,Rolling applications,
National Black MBA Scale-Up Pitch,fixed,annual,Annual competition,https://nbmbaa.org/scale-up-pitch-challenge/
Kinetic Black Business Support,fixed,varies,Grant with application deadline,
AgeTech February Open Mic,fixed,annual,Annual competition,
West Suburban Angels Inc.,rolling,rolling,Rolling applications,
a11y Capital,rolling,rolling,Rolling applications,
mHUB Spark Fund II,rolling,rolling,Rolling applications,
MassChallenge Chicago,cohort-based,annual,Annual cohorts with fixed deadlines,
Secretsos Grant (Q1 Close),fixed,varies,Application windows,
YALI Africa Startup Accelerator,cohort-based,varies,Cohort-based programs,
Google for Startups MENA,cohort-based,varies,Cohort-based program,
EDA Industry Transformation Grants,fixed,quarterly,Quarterly submission windows,
Capital One Mobility Program,cohort-based,varies,Cohort-based program,
HHS SBIR/STTR (March),fixed,quarterly,Quarterly solicitations with fixed deadlines,
Moderne Passport,cohort-based,varies,Cohort-based program,
SXSW Pitch Competition,fixed,annual,Annual competitions,
Startmate Accelerator,cohort-based,varies,Cohort-based programs,
NASE Growth Grants (Q1 Review),fixed,varies,Application windows,
NSF I-Corps,fixed,quarterly,Quarterly submission windows,
HerSuiteSpot Hustler's Microgrant,fixed,varies,Application windows,
Santander Cultivate Small Business Grant,fixed,varies,Application windows,
TechRise Pitch Competition,fixed,annual,Annual competitions,https://techrise.co/apply/
Render Capital,fixed,varies,Grant with application deadline,
43North,fixed,annual,Annual competition,
AAUW Career Development Grants,fixed,varies,Application windows,
Amber Grant,fixed,varies,Application windows,https://ambergrantsforwomen.com/get-an-amber-grant/
Amber Grant for Women,fixed,varies,Application windows,https://ambergrantsforwomen.com/get-an-amber-grant/
American Family Institute Innovation Grant,fixed,varies,Application windows,https://www.amfaminstitute.com/
American Underground - Launch Challenge,fixed,varies,Grant with application deadline,
Arch Grants,fixed,varies,Application windows,
Awesome Foundation,fixed,varies,Grant with application deadline,
Backstage Capital Accelerator,cohort-based,varies,Cohort-based programs,https://backstagecapital.com/Accelerator/
Baylor New Venture Competition - Round 2,fixed,annual,Annual competitions,https://sites.baylor.edu/newventurecompetition/eligibility/
Capital One Business Grants,fixed,varies,Application windows,
Cartier Women's Initiative,fixed,varies,Grant with application deadline,
Chicago Innovation Exchange Accelerator,cohort-based,varies,Cohort-based programs,
CodeLaunch USA 2026,fixed,annual,Annual competition,
Dream Big Competition (BMO),fixed,annual,Annual competitions,https://www.bmo.com/en-us/main/about-bmo/news-insights/blog/apply-now-bmo-offering-15-grants-to-empower-small-businesses-in-the-u-s/
EDA Disaster Supplemental - Industry Transformation,fixed,quarterly,Quarterly submission windows,
EDA Tech Hubs - Stage II,fixed,varies,Grant with application deadline,
EIC Accelerator Step 2 - 1st Cutoff 2026,fixed,quarterly,Multiple cutoffs per year,
EIC Accelerator Step 2 - 2nd Cutoff 2026,fixed,quarterly,Multiple cutoffs per year,
Earth Rising Foundation Grants,fixed,varies,Application windows,
Elevate Ventures - Community Ideation Fund,fixed,varies,Grant with application deadline,
Elevate Ventures - Pre-Seed Accelerator Fund,cohort-based,varies,Cohort-based programs,
Faire Small Business Grant,fixed,varies,Application windows,
Fast Forward Nonprofit Accelerator,cohort-based,varies,Cohort-based programs,
FedEx Small Business Grant,fixed,varies,Application windows,https://www.fedex.com/en-us/small-business/grant-contest.html
Forum Ventures - Launch,cohort-based,varies,Cohort-based program,
Freed Fellowship,fixed,varies,Grant with application deadline,
Global Insurance Accelerator 2026,cohort-based,varies,Cohort-based programs,
Halcyon Incubator,cohort-based,varies,Cohort-based program,
Heartland Challenge,fixed,annual,Annual competition,https://www.heartlandchallenge.org/
Hello Tomorrow Global Challenge,fixed,annual,Annual competition,
Illinois SBDC - Innovation Voucher,fixed,varies,Grant with application deadline,
Inc.U Competition (Invent Penn State),fixed,annual,Annual competitions,
Lake Forest College Venture Design Challenge 2026,fixed,annual,Annual competition,
LaunchKC Grants — 2026 Cohort,fixed,varies,Application windows,
MassChallenge HealthTech,cohort-based,annual,Annual cohorts with fixed deadlines,
Ilitch School Tech Pitch (Finalists),fixed,annual,Annual competition,
Slauson & Co - Friends & Family,cohort-based,varies,Cohort-based program,
USDA SBIR/STTR Program,fixed,quarterly,Quarterly solicitations with fixed deadlines,https://www.nifa.usda.gov/grants/programs/sbir-sttr/am-i-eligible
America's Seed Fund – NSF SBIR/STTR,fixed,quarterly,Quarterly solicitations with fixed deadlines,https://seedfund.nsf.gov/apply/full-proposal/
DOE SBIR/STTR,fixed,quarterly,Quarterly solicitations with fixed deadlines,https://science.osti.gov/-/media/sbir/pdf/About/DOE-SBIR-STTR-Outreach-Slides-25-minutes.pdf
