name,original_ideal_for,cleaned_ideal_for,needs_manual_review
Cybersecurity & Defence Accelerator,d Startup Innovators (India) Applications open for HealthTech Acceleration Program in India Deadline,"Startups, Founders",True
STTR Phase I (All Agencies),am Tutorials Community Stay connected with our innovation ecosystem Community Event Spotlight News a,small businesses,False
Penn Startup Challenge,*Additional eligibility requirements applies.,*Additional eligibility requirements applies.,True
Breva Thrive Grant,Program Eligibility Program Eligibility 01 Your business must have a demonstrated impact on its comm,"Program Eligibility Program Eligibility 01 Your business must have a demonstrated impact on its community, such as creating new jobs, innovating new p...",True
NIST MEP,3D measurements from 3D tomographic reconstructions due to camera defects and dose reduction Accurat,"3D measurements from 3D tomographic reconstructions due to camera defects and dose reduction Accurate Cure Kinetics, Stress, Mechanical Properties and...",True
SBIR Phase I - USDA,"Agriculture, food tech, rural innovation startups | Agriculture and food systems innovation | Award:",Startups,True
Amex Shop Small Grants,"0\"",\""position\"",2,\""offerHeader\"",\""Eligible Members Unlock Extra Rewards*\"",\""buttonText\"",\""Explo","0\"",\""position\"",2,\""offerHeader\"",\""Eligible Members Unlock Extra Rewards*\"",\""buttonText\"",\""Explore Amex Offers\"",\""buttonUrl\"",\""https://www.",True
Horizon Europe AI Road Safety,EU Funding & Tenders Portal Topic List,EU Funding & Tenders Portal Topic List,True
Horizon Europe Battery Development,EU Funding & Tenders Portal Topic List,EU Funding & Tenders Portal Topic List,True
Space Symposium Innovate Pitch,"Global companies, TRL 4-7 | Pitch live April 15, 2026 | Amount: Varies","Global companies, TRL 4-7 | Pitch live April 15, 2026 | Amount: Varies",True
Arch Venture Partners,"jpg"",""datePublished"":""2017-08-07T15:42:29+00:00"",""dateModified"":""2024-03-04T17:13:39+00:00"",""descrip","jpg"",""datePublished"":""2017-08-07T15:42:29+00:00"",""dateModified"":""2024-03-04T17:13:39+00:00"",""description"":""ARCH Venture Partners provides seed / early...",True
NASE Growth Grants,"ollaboration with AARP, Provides Financial Grants to Support Small Businesses in California, Florida",small businesses,False
P33 Chicago Civic Innovation Challenge,"$7B in federal funding raised $10B in private investment raised TechRise TechRise brings community, ",Founders,True
SBIR Phase I - NASA,hooks[o][r]=e)}}); Small Business Innovation Research (SBIR) / Small Business Technology Transfer (S,small businesses,False
Desai Accelerator (U-M Alumni),We're looking for early-stage ventures ready for exponential growth.,We're looking for early-stage ventures ready for exponential growth.,True
The Liveability Challenge 2026,Global innovators | Focus on carbon emission reduction | Amount: Up to S$1M,Global innovators | Focus on carbon emission reduction | Amount: Up to S$1M,True
QuickBooks Small Business Hero,"US businesses, 1+ year, ≤99 employees | Must be nominated; 3 winners per quarter | Amount: $20,000","US businesses, 1+ year, ≤99 employees | Must be nominated; 3 winners per quarter | Amount: $20,000",True
Space Symposium Innovate (Final),"Global startups, TRL 4-7 | Extended deadline | Amount: Varies",Startups,True
EDA Tech Hubs Phase 2,"Through its Planning and Local Technical Assistance programs, EDA assists eligible recipients in dev","Through its Planning and Local Technical Assistance programs, EDA assists eligible recipients in developing economic development plans and studies des...",True
HHS SBIR/STTR,Contact & Help Search Small Business Funding Product Development Support Entrepreneurial Training --,small businesses,False
AgeTech Open Mic Challenge,Apply to a Pitch Event to Become Eligible Startups become eligible for our AgeTech accelerator progr,Startups,True
ViVE Health AgeTech Pitch,AgeTech MVP-stage startups | Pitch at ViVE Event in LA | Amount: Cash + exposure,Startups,True
Secretsos Small Business Grant,Complete one application to be considered for all of the Secretsos™ grants for which you are eligibl,Complete one application to be considered for all of the Secretsos™ grants for which you are eligible.,True
7wire Ventures,CMS’s GUIDE program is an important step toward reimbursed dementia care with approximately 330 orga,"CMS’s GUIDE program is an important step toward reimbursed dementia care with approximately 330 organizations participating , but providers in early p...",True
BVF (Blue Venture Fund),Highlights Daymark Health Raises $20M in Series A Funding to Scale Tech-Enabled Cancer Care Platform,Highlights Daymark Health Raises $20M in Series A Funding to Scale Tech-Enabled Cancer Care Platform to Thousands of,True
Moderne Passport Industry Immersion,"From 2007 to 2016, Schneider was President of Capital One’s Card division, its largest business, whe",small businesses,False
South Summit Madrid,"Startups globally, all sectors | 100 finalist startups, 3-min pitch | Amount: Multiple awards",Startups,True
Opportunity Fund,"Low-income entrepreneurs, especially minorities | Microloans not grants, but critical for underserve","Entrepreneurs, Founders",True
PitchBook University Innovation Prize,"University students with innovative business ideas | National student competition, university affili",Students,True
Rice Business Plan Competition,"RBPC judges act as (and often are) early-stage investors, evaluating startups investment potential.",Startups,True
IL Small Business Capital Grant,"Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects c","Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects contractors on active projects to pre-apprentices a...",True
Chicago SBIF Grant,Loans are typically eligible for up to 90% financing of project costs.,Loans are typically eligible for up to 90% financing of project costs.,True
IL Federal Grant Match Program,"Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects c","Besides ensuring contractors comply with the Illinois Works requirements, this initiative connects contractors on active projects to pre-apprentices a...",True
Chicago CDG Large Grant,Environment Food Service Establishments Freedom of Information (FOIA) Grants Health &amp; Wellness H,"Environment Food Service Establishments Freedom of Information (FOIA) Grants Health &amp; Wellness Housing Inspections, Permitting &amp; Licensing Job...",True
Aurora Finish Line Grant,Commercial businesses in Aurora | <50 employees required | Amount: Gap financing | Deadline: Rolling,Commercial businesses in Aurora | <50 employees required | Amount: Gap financing | Deadline: Rolling,True
SoGal Black Founder Grant,"Black women & nonbinary entrepreneurs | Partnership with Walmart | Amount: $5,000-$10,000 | Deadline",Entrepreneurs,True
Google Black Founders Fund,"Find out more Startup School From Google to you A comprehensive series of guided online trainings, d",early-stage startups,False
NAACP Powershift Grant,Who is eligible to participate in ACT-SO? Students of African descent who are U.,Students,True
Black Girl Ventures Pitch,"Since ELF, Paulana has gone on to win a $50k In the&nbsp; Press Five organizations promoting youth e",small businesses,False
Harlem Capital,and Latino Startups Have Raised $1M+ in VC Funding - HCP Search Enter a search term: Portfolio Team,Startups,True
National Black MBA Scale-Up Pitch,"Black entrepreneurs | Live pitch in Atlanta | Amount: $50,000 (1st) | Deadline: Check NBMBAA website",Entrepreneurs,True
Kinetic Black Business Support,"Black-owned, Midwest/Northeast, <25 employees | Must be in service area | Amount: Up to $2,500 | Dea","Black-owned, Midwest/Northeast, <25 employees | Must be in service area | Amount: Up to $2,500 | Deadline: Rolling",True
AgeTech February Open Mic,Apply to a Pitch Event to Become Eligible Startups become eligible for our AgeTech accelerator progr,Startups,True
West Suburban Angels Inc.,"Thus, only a small percentage of members need to participate for the venture to secure funding from ","Thus, only a small percentage of members need to participate for the venture to secure funding from WSA Contact Information [contact-form-7 id=&#8221;...",True
a11y Capital,Supporting startups building accessible products for people with disabilities. | Focus on underrepre,"Startups, Founders",True
mHUB Spark Fund II,"Energy, medtech, manufacturing, 65 startups over 4 years | Check size: $20M target",Startups,True
MassChallenge Chicago,"Eligibility For our early-stage accelerator programs in Boston, Israel, Switzerland, Mexico, and Tex",early-stage startups,False
Secretsos Grant (Q1 Close),Complete one application to be considered for all of the Secretsos™ grants for which you are eligibl,Complete one application to be considered for all of the Secretsos™ grants for which you are eligible.,True
YALI Africa Startup Accelerator,"Grants: After completing the Accelerator, leaders are eligible to apply for up to $17,000 in seed fu","Grants: After completing the Accelerator, leaders are eligible to apply for up to $17,000 in seed funding to launch a systems-change gender equity adv...",True
