name,amount_min_usd,amount_max_usd,amount_label,confidence,source
Cybersecurity & Defence Accelerator,,,,,
STTR Phase I (All Agencies),50000.0,275000.0,$50K-$275K,high,Known program: STTR Phase I
Penn Startup Challenge,,,,,
Breva Thrive Grant,15000.0,15000.0,$15K,medium,Known program: Breva
NIST MEP,,,,,
SBIR Phase I - USDA,50000.0,275000.0,$50K-$275K,high,Known program: SBIR Phase I
Amex Shop Small Grants,,,,,
Horizon Europe AI Road Safety,1000000.0,10000000.0,€1M-€10M,medium,Known program: Horizon Europe
Horizon Europe Battery Development,1000000.0,10000000.0,€1M-€10M,medium,Known program: Horizon Europe
Space Symposium Innovate Pitch,,,,,
Arch Venture Partners,,,,,
NASE Growth Grants,,,,,
P33 Chicago Civic Innovation Challenge,,,,,
SBIR Phase I - NASA,50000.0,275000.0,$50K-$275K,high,Known program: SBIR Phase I
Desai Accelerator (U-M Alumni),,,,,
The Liveability Challenge 2026,,,,,
QuickBooks Small Business Hero,,,,,
Space Symposium Innovate (Final),,,,,
EDA Tech Hubs Phase 2,,,,,
HHS SBIR/STTR,,,,,
AgeTech Open Mic Challenge,,,,,
ViVE Health AgeTech Pitch,,,,,
Secretsos Small Business Grant,,,,,
7wire Ventures,,,,,
BVF (Blue Venture Fund),,,,,
Moderne Passport Industry Immersion,,,,,
South Summit Madrid,,,,,
Opportunity Fund,,,,,
PitchBook University Innovation Prize,,,,,
Rice Business Plan Competition,,,,,
IL Small Business Capital Grant,,,,,
Chicago SBIF Grant,,,,,
IL Federal Grant Match Program,,,,,
Chicago CDG Large Grant,,,,,
Aurora Finish Line Grant,,,,,
SoGal Black Founder Grant,5000.0,10000.0,$5K-$10K,medium,Known program: SoGal
Google Black Founders Fund,,,,,
NAACP Powershift Grant,,,,,
Black Girl Ventures Pitch,,,,,
Harlem Capital,,,,,
National Black MBA Scale-Up Pitch,,,,,
Kinetic Black Business Support,,,,,
AgeTech February Open Mic,,,,,
West Suburban Angels Inc.,,,,,
a11y Capital,,,,,
mHUB Spark Fund II,,,,,
MassChallenge Chicago,0.0,100000.0,Up to $100K (non-dilutive),,Known program: MassChallenge
Secretsos Grant (Q1 Close),,,,,
YALI Africa Startup Accelerator,,,,,
Google for Startups MENA,100000.0,200000.0,$100K-$200K,medium,Known program: Google for Startups
EDA Industry Transformation Grants,50000.0,1000000.0,$50K-$1M,medium,Known program: NSF
Capital One Mobility Program,,,,,
HHS SBIR/STTR (March),,,,,
Moderne Passport,,,,,
SXSW Pitch Competition,,,,,
Startmate Accelerator,,,,,
NASE Growth Grants (Q1 Review),,,,,
NSF I-Corps,50000.0,1000000.0,$50K-$1M,medium,Known program: NSF
HerSuiteSpot Hustler's Microgrant,,,,,
Santander Cultivate Small Business Grant,,,,,
TechRise Pitch Competition,,,,,
Render Capital,,,,,
43North,,,,,
AAUW Career Development Grants,,,,,
Amber Grant,10000.0,25000.0,$10K-$25K,high,Known program: Amber Grant
Amber Grant for Women,10000.0,25000.0,$10K-$25K,high,Known program: Amber Grant
American Family Institute Innovation Grant,,,,,
American Underground - Launch Challenge,,,,,
Arch Grants,,,,,
Awesome Foundation,,,,,
Backstage Capital Accelerator,,,,,
Baylor New Venture Competition - Round 2,,,,,
Capital One Business Grants,,,,,
Cartier Women's Initiative,,,,,
Chicago Innovation Exchange Accelerator,,,,,
CodeLaunch USA 2026,,,,,
Dream Big Competition (BMO),,,,,
EDA Disaster Supplemental - Industry Transformation,50000.0,1000000.0,$50K-$1M,medium,Known program: NSF
EDA Tech Hubs - Stage II,,,,,
EIC Accelerator Step 2 - 1st Cutoff 2026,500000.0,17500000.0,€500K-€17.5M,high,Known program: EIC Accelerator
EIC Accelerator Step 2 - 2nd Cutoff 2026,500000.0,17500000.0,€500K-€17.5M,high,Known program: EIC Accelerator
Earth Rising Foundation Grants,,,,,
Elevate Ventures - Community Ideation Fund,,,,,
Elevate Ventures - Pre-Seed Accelerator Fund,,,,,
Faire Small Business Grant,,,,,
Fast Forward Nonprofit Accelerator,,,,,
FedEx Small Business Grant,15000.0,50000.0,$15K-$50K,medium,Known program: FedEx
Forum Ventures - Launch,,,,,
Freed Fellowship,,,,,
Global Insurance Accelerator 2026,,,,,
Halcyon Incubator,,,,,
Heartland Challenge,,,,,
Hello Tomorrow Global Challenge,,,,,
Illinois SBDC - Innovation Voucher,,,,,
Inc.U Competition (Invent Penn State),,,,,
Lake Forest College Venture Design Challenge 2026,,,,,
